date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2022-08-26,0.7298616762,-0.0338498011,-0.0256698585,1.0841342685
2022-08-29,0.7136850511,-0.0066093090,-0.0048238813,1.0789045334
2022-08-30,0.7097511697,-0.0109785622,-0.0078352357,1.0704510621
2022-08-31,0.7081177074,-0.0076101552,-0.0054013166,1.0646692170
2022-09-01,0.7016811464,0.0031379569,0.0022220429,1.0670349576
2022-09-02,0.7046540114,-0.0105496028,-0.0074024574,1.0591362768
2022-09-06,0.6999416104,-0.0037715131,-0.0026576119,1.0563215037
2022-09-07,0.7055554465,0.0179731906,0.0125801840,1.0696102226
2022-09-08,0.7151413773,0.0065330076,0.0046093991,1.0745404830
2022-09-09,0.7435442256,0.0155353579,0.0111099773,1.0864786033
2022-09-12,0.7654387181,0.0107485614,0.0079920308,1.0951617738
2022-09-13,0.7657852231,-0.0434837638,-0.0332841564,1.0587102380
2022-09-14,0.7705038547,0.0038161676,0.0029223648,1.0618041755
2022-09-15,0.7559898780,-0.0113548884,-0.0087489853,1.0525144664
2022-09-16,0.7669987654,-0.0076159797,-0.0057576036,1.0464545054
2022-09-19,0.7708054317,0.0077550417,0.0059481074,1.0526789292
2022-09-20,0.7445594765,-0.0114790511,-0.0088481149,1.0433647051
2022-09-21,0.7305533904,-0.0174387553,-0.0129841905,1.0298174589
2022-09-22,0.7189571567,-0.0084060605,-0.0061410760,1.0234932717
2022-09-23,0.6878961527,-0.0167580752,-0.0120483381,1.0111618787
2022-09-26,0.6875714616,-0.0098860750,-0.0068005930,1.0042853783
2022-09-27,0.6891885078,-0.0025566283,-0.0017578647,1.0025199805
2022-09-28,0.7028130363,0.0196757675,0.0135603129,1.0161144651
2022-09-29,0.6939072562,-0.0208898967,-0.0146816918,1.0011961858
2022-09-30,0.6750842444,-0.0154669500,-0.0107326288,0.9904507187
2022-10-03,0.6938391436,0.0264104423,0.0178292735,1.0081097355
2022-10-04,0.7142605816,0.0309816168,0.0214962584,1.0297803229
2022-10-05,0.7039664066,-0.0023244467,-0.0016602607,1.0280706192
2022-10-06,0.7028650910,-0.0103195318,-0.0072646037,1.0206020935
2022-10-07,0.6962695035,-0.0278945294,-0.0196060909,1.0005920761
2022-10-10,0.7022154098,-0.0076335224,-0.0053149888,0.9952739403
2022-10-11,0.7036923765,-0.0063310628,-0.0044457698,0.9908491815
2022-10-12,0.6921973771,-0.0033044400,-0.0023253092,0.9885451507
2022-10-13,0.6990030155,0.0264011251,0.0182747895,1.0066106053
2022-10-14,0.6882145687,-0.0227948295,-0.0159336546,0.9905716196
2022-10-17,0.6859430173,0.0256962913,0.0176845620,1.0080894448
2022-10-18,0.6920737188,0.0117523782,0.0080614617,1.0162161193
2022-10-19,0.6831594945,-0.0070906741,-0.0049072692,1.0112292733
2022-10-20,0.6837904658,-0.0083840113,-0.0057276169,1.0054373394
2022-10-21,0.6975777102,0.0243014503,0.0166171000,1.0221447922
2022-10-24,0.7080063040,0.0122347522,0.0085346904,1.0308684816
2022-10-25,0.6985401764,0.0159699852,0.0113068502,1.0425243570
2022-10-26,0.6849534274,-0.0075337931,-0.0052626571,1.0370379088
2022-10-27,0.6774936798,-0.0053399941,-0.0036576473,1.0332447899
2022-10-28,0.6899296128,0.0237922554,0.0161191027,1.0498997688
2022-10-31,0.6849149111,-0.0072226779,-0.0049831394,1.0446679719
2022-11-01,0.6796177358,-0.0043753286,-0.0029967278,1.0415373863
2022-11-02,0.6742216239,-0.0250955836,-0.0170554037,1.0237735457
2022-11-03,0.6684468125,-0.0103005027,-0.0069448217,1.0166636210
2022-11-04,0.6760501735,0.0143954203,0.0096225728,1.0264465407
2022-11-07,0.6767039652,0.0095607769,0.0064635649,1.0330810445
2022-11-08,0.6637912641,0.0053963701,0.0036517450,1.0368535930
2022-11-09,0.6494365578,-0.0205963000,-0.0136716440,1.0226780998
2022-11-10,0.6778849657,0.0549440203,0.0356826554,1.0591699700
2022-11-11,0.6895800561,0.0096862088,0.0065661353,1.0661246234
2022-11-14,0.6763354279,-0.0085091669,-0.0058677518,1.0598688687
2022-11-15,0.6939127317,0.0085297519,0.0057689734,1.0659832240
2022-11-16,0.6910195968,-0.0076282291,-0.0052933253,1.0603406280
2022-11-17,0.6948445020,-0.0030522151,-0.0021091405,1.0581042207
2022-11-18,0.7073949229,0.0045305827,0.0031480505,1.0614351862
2022-11-21,0.7133673621,-0.0036285249,-0.0025668001,1.0587106943
2022-11-22,0.7233565837,0.0134510663,0.0095955517,1.0688696075
2022-11-23,0.7229364759,0.0063007630,0.0045576984,1.0737411928
2022-11-25,0.7389541504,-0.0002239861,-0.0001619277,1.0735673243
2022-11-28,0.7312076563,-0.0159529266,-0.0117884813,1.0609115959
